"_id",collectProperty.wxOpenId,createTime,isValid,onlineTrainingClientId,owner.platformId,owner.platformVersionId,owner.projectId,owner.subProjectId,owner.unitId,result,resultValue.data.type,resultValue.lastRefreshTime,status,statusChangeTime.-1,statusChangeTime.0,statusChangeTime.1,statusChangeTime.2,supervisionBehaviorId,supervisionMeasures.facilitiesType,supervisionMeasures.measuresType,systemId,triggerTimePoint,updateTime,userSupervisionFactId
2c90803890971dab0190b93cce9434d9,,2024-07-16T02:26:06.431Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,WORD_IMAGE_CLICK,,2,2024-07-16T02:26:06.267Z,,,2024-07-16T02:29:06.267Z,2c9082e490971fa30190b8e7238b26f8,0,10,2c91e0819004efb5019004efb5ef0000,15110,2024-07-16T02:29:06.663Z,49bea215600fe485672c157e3ccb75ad
2c9082e490971fa30190b8d797901d74,oR17p5RhtQaVFWu5zF4qkmC1NmLE,2024-07-16T00:00:55.318Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,,2024-07-16T08:00:55.185+0800,1,2024-07-16T00:00:55.113Z,2024-07-16T00:01:05.849Z,2024-07-16T00:01:16.917Z,,2c90803890971dab0190b8d797656ade,0,3,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:01:17.032Z,19dc54482b565283c99b5564013954c2
2c90803890971dab0190b8e0c7fa6f79,oR17p5XMKxuu78S-m5h9x4UG6C-8,2024-07-16T00:43:42.437Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:43:42.302Z,2024-07-16T00:43:54.334Z,2024-07-16T00:44:01.155Z,,2c90803890971dab0190b8e0c7e96f77,0,7,2c91e0819004efb5019004efb5ef0000,17671,2024-07-16T00:44:01.258Z,eb6d13617a358df8134ce2bb5c0d9a51
2c90803890971dab0190ba7800c26103,oR17p5bRF3MTiwL7ggys789ty2kM,2024-07-16T08:03:57.004Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T08:03:56.899Z,2024-07-16T08:04:07.533Z,2024-07-16T08:04:17.421Z,,2c9082e490971fa30190b8e7238b26f8,0,10,2c91e0819004efb5019004efb5ef0000,19510,2024-07-16T08:04:17.543Z,49bea215600fe485672c157e3ccb75ad
2c9082e490971fa30190b92bc2035857,,2024-07-16T01:51:55.826Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2,,2024-07-16T09:51:55.623+0800,2,2024-07-16T01:51:55.617Z,,,2024-07-16T01:54:55.617Z,2c9082e490971fa30190b8de7b612113,0,3,2c91e0819004efb5019004efb5ef0000,12310,2024-07-16T01:54:57.465Z,f7e42df9517d368beed09075fbcb0a95
2c90803890971dab0190b8e0c8136f7b,oR17p5XMKxuu78S-m5h9x4UG6C-8,2024-07-16T00:10:57.518Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T00:10:57.368Z,2024-07-16T00:11:19.752Z,2024-07-16T00:11:27.827Z,,2c90803890971dab0190b8e0c7e96f77,0,7,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:11:27.951Z,eb6d13617a358df8134ce2bb5c0d9a51
2c90803890971dab0190b916bd831a00,oR17p5RhtQaVFWu5zF4qkmC1NmLE,2024-07-16T01:48:15.036Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,SLIDER,,1,2024-07-16T01:48:14.884Z,2024-07-16T01:49:25.110Z,2024-07-16T01:49:32.275Z,,2c90803890971dab0190b8d797656ade,0,7,2c91e0819004efb5019004efb5ef0000,15949,2024-07-16T01:49:32.389Z,19dc54482b565283c99b5564013954c2
2c90803890971dab0190b8e4ed46726e,oR17p5SOfgg95DsF-o2lYlUYUwKE,2024-07-16T01:05:50.619Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,,2024-07-16T09:05:50.494+0800,1,2024-07-16T01:05:50.488Z,2024-07-16T01:06:10.494Z,2024-07-16T01:06:20.623Z,,2c90803890971dab0190b8dd8f586d72,0,3,2c91e0819004efb5019004efb5ef0000,3037,2024-07-16T01:06:20.740Z,fa82d6343e24562cb36b01fbf692d297
2c90803890971dab0190b93c2cfc347b,oR17p5bRF3MTiwL7ggys789ty2kM,2024-07-16T01:50:56.188Z,1,dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,,2024-07-16T09:50:55.990+0800,1,2024-07-16T01:50:55.984Z,2024-07-16T01:51:03.981Z,2024-07-16T01:51:28.362Z,,2c9082e490971fa30190b8e7238b26f8,0,3,2c91e0819004efb5019004efb5ef0000,13036,2024-07-16T01:51:28.463Z,49bea215600fe485672c157e3ccb75ad
2c9082e490971fa30190b8ee898d2bba,oR17p5fQYECT6XaQDZ5eFwLQWojs,2024-07-16T00:25:59.044Z,1,ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,1,WORD_IMAGE_CLICK,,1,2024-07-16T00:25:58.858Z,2024-07-16T00:26:07.810Z,2024-07-16T00:26:19.455Z,,2c9082e490971fa30190b8ee89652bb6,0,10,2c91e0819004efb5019004efb5ef0000,0,2024-07-16T00:26:19.588Z,8b55f34fd54cbc0bf6d6006d8cb75133
