studentId,courseId,count,openIds
4890fa7c10ac11ec8871b07b25146e9e,DA100004444,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
e68003d26ed511ecb369fa164011f743,ZH20247279,3,"oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5QdTEvESNVF5MS61zACgaVE"
3eccd9e710a911ec8871b07b25146e9e,ZH20247105,3,"oR17p5Ws6XttBKztGoKCxWrjPDaQ,oR17p5TE2-DMb4oGIf0AOcUEP7Dc,oR17p5S3TQKHQe0t8EZOU18qhxSw"
69287c1010c611ec8216b07b25146e9e,DA100004408,3,"oR17p5cVRLaEUJo05wUaReGhJXag,oR17p5Z8_6HzA_SwAlDl13CwhUyM,oR17p5TAv_Wm9t8DpDvzLTCE35qE"
fda9c66110a811ec8871b07b25146e9e,DA100004482,3,"oR17p5eUwptlYKh-OuMtBW_6Z3mA,oR17p5R0-RBAk0Bvpo8ch6LpuniQ,oR17p5VIurDWUth4uY8TSNN_iEEE"
4efaae1910a911ec8871b07b25146e9e,DA100004064,3,"oR17p5aY6HI5gxnxOpqOGEYuoCE8,oR17p5Y4-Q7sZsV2KsAuMDc_lE0E,oR17p5biQ09cTeq7h-CXKs1O9HQk"
93999f1610a811ec8871b07b25146e9e,DA100004482,3,"oR17p5fewc0pBZAdDDNj2WkNwFAA,oR17p5brilcple0jwLIm2UpYy2pw,oR17p5XjE3HHhvUe9XyRHby-v_8Q"
747edaa4130411eca228fa164011f743,ZH20247109,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5QdTEvESNVF5MS61zACgaVE,oR17p5XGl5wIPWPKWSGgzVqg4yS4"
3eccd9e710a911ec8871b07b25146e9e,ZH20247270,3,"oR17p5S3TQKHQe0t8EZOU18qhxSw,oR17p5Ws6XttBKztGoKCxWrjPDaQ,oR17p5TE2-DMb4oGIf0AOcUEP7Dc"
538c8cc610a811ec8871b07b25146e9e,ZH20246243,3,"oR17p5SGXc8WkccuPlZfs3IvRjWE,oR17p5XwglNrs_YKsOYCyVepLYeE,oR17p5UE0VSfr1Z1KpkIqUeHp6xk"
920843e310ca11ec8216b07b25146e9e,ZH20247279,3,"oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5QdTEvESNVF5MS61zACgaVE"
957387c010c011ec8216b07b25146e9e,ZH20247270,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE"
