trainingPersonId,totalDuration
e0e9eee4a8dc11eda9defa164011f743,23912125
716ef57610ac11ec8871b07b25146e9e,60068302
fea40c4710a711ec8871b07b25146e9e,97666712
eea5465910bf11ec8216b07b25146e9e,7979532
415f208c10a911ec8871b07b25146e9e,18546868
0213fa7310a811ec8871b07b25146e9e,3964760
a514ad1810c511ec8216b07b25146e9e,75525467
ffc233ad10a711ec8871b07b25146e9e,97260660
d22d2d7b10a911ec8871b07b25146e9e,2402968
5f426a9b10a811ec8871b07b25146e9e,21337911
c9a86f8910ab11ec8871b07b25146e9e,17167155
188e2f8210ac11ec8871b07b25146e9e,7258326
0c88c48010a911ec8871b07b25146e9e,19751229
2639602410a811ec8871b07b25146e9e,49577759
f86e706510aa11ec8871b07b25146e9e,14617829
1edad11610a811ec8871b07b25146e9e,18895194
a2d127b610ab11ec8871b07b25146e9e,34785584
96613099701f11ecb369fa164011f743,13094317
40ef256810ac11ec8871b07b25146e9e,1772480
03ecec5210a911ec8871b07b25146e9e,64127886
4ae3a89c10aa11ec8871b07b25146e9e,30832722
7e0733f210aa11ec8871b07b25146e9e,61334427
fe58cd2810ab11ec8871b07b25146e9e,77968886
6d548f6c10aa11ec8871b07b25146e9e,18118752
c4b00c3a10ab11ec8871b07b25146e9e,33101426
9046187910ac11ec8871b07b25146e9e,25800914
2e50dae210ac11ec8871b07b25146e9e,41551581
31cb459110a811ec8871b07b25146e9e,15705129
8232c2be10a811ec8871b07b25146e9e,19034643
14cb12ed10ac11ec8871b07b25146e9e,26568796
482143d910c511ec8216b07b25146e9e,21216228
ab4790db10a811ec8871b07b25146e9e,122107865
40310529ba5411eebde5fa164011f743,27857803
f74b418a10c211ec8216b07b25146e9e,195518373
136491416dfb11ecb369fa164011f743,23024788
f73f850510ab11ec8871b07b25146e9e,103286880
10fa91ef10c511ec8216b07b25146e9e,30196106
89a5b06a10ac11ec8871b07b25146e9e,80889245
1408754410ac11ec8871b07b25146e9e,71497750
2b333d4c10ab11ec8871b07b25146e9e,17511653
445dc4e510a911ec8871b07b25146e9e,73363149
eba224cd778511ecb369fa164011f743,14206253
